n	n*n	#proc	run	time [s]	distance
512	262144	8	19	0.034368	1632.78
1024	1048576	1	0	0.296004	3263.88
1024	1048576	1	1	0.295609	3263.88
1024	1048576	1	2	0.295496	3263.88
1024	1048576	1	3	0.29562	3263.88
1024	1048576	1	4	0.295568	3263.88
1024	1048576	1	5	0.295632	3263.88
1024	1048576	1	6	0.295522	3263.88
1024	1048576	1	7	0.295491	3263.88
1024	1048576	1	8	0.295862	3263.88
1024	1048576	1	9	0.295687	3263.88
1024	1048576	1	10	0.295926	3263.88
1024	1048576	1	11	0.295633	3263.88
1024	1048576	1	12	0.295835	3263.88
1024	1048576	1	13	0.29561	3263.88
1024	1048576	1	14	0.29594	3263.88
1024	1048576	1	15	0.295865	3263.88
1024	1048576	1	16	0.295723	3263.88
1024	1048576	1	17	0.295781	3263.88
1024	1048576	1	18	0.295788	3263.88
1024	1048576	1	19	0.295736	3263.88
1024	1048576	2	0	0.199996	3264.1
1024	1048576	2	1	0.199934	3261.12
1024	1048576	2	2	0.200217	3261.39
1024	1048576	2	3	0.199586	3260.68
1024	1048576	2	4	0.19908	3261.89
1024	1048576	2	5	0.198134	3261.42
1024	1048576	2	6	0.197618	3261.45
1024	1048576	2	7	0.200611	3259.46
1024	1048576	2	8	0.200431	3261.92
1024	1048576	2	9	0.197997	3257.86
1024	1048576	2	10	0.197535	3260.41
1024	1048576	2	11	0.198346	3262.8
1024	1048576	2	12	0.198177	3261.95
1024	1048576	2	13	0.198051	3260.44
1024	1048576	2	14	0.198095	3258.44
1024	1048576	2	15	0.198249	3258.85
1024	1048576	2	16	0.198196	3260.92
1024	1048576	2	17	0.201608	3262.93
1024	1048576	2	18	0.199418	3256.4
1024	1048576	2	19	0.201646	3261.42
1024	1048576	3	0	0.159717	3262.73
1024	1048576	3	1	0.159445	3261.75
1024	1048576	3	2	0.160334	3260.41
1024	1048576	3	3	0.159854	3261.12
1024	1048576	3	4	0.159796	3260.45
1024	1048576	3	5	0.15925	3260.1
1024	1048576	3	6	0.159303	3265.91
1024	1048576	3	7	0.159128	3260.89
1024	1048576	3	8	0.159784	3260.05
1024	1048576	3	9	0.159717	3261.92
1024	1048576	3	10	0.159114	3260.92
1024	1048576	3	11	0.160201	3261.64
1024	1048576	3	12	0.160113	3260.93
1024	1048576	3	13	0.159276	3260.72
1024	1048576	3	14	0.159425	3263.28
1024	1048576	3	15	0.159789	3260.66
1024	1048576	3	16	0.15973	3262.82
1024	1048576	3	17	0.160199	3262.89
1024	1048576	3	18	0.159694	3259.42
1024	1048576	3	19	0.159907	3263.61
1024	1048576	4	0	0.140294	3259.67
1024	1048576	4	1	0.14017	3261.41
1024	1048576	4	2	0.140071	3259.89
1024	1048576	4	3	0.141036	3260.13
1024	1048576	4	4	0.139825	3261.58
1024	1048576	4	5	0.140847	3266.11
1024	1048576	4	6	0.139335	3257.39
1024	1048576	4	7	0.139227	3259.72
1024	1048576	4	8	0.140893	3262.11
1024	1048576	4	9	0.142784	3260.81
1024	1048576	4	10	0.141858	3259.93
1024	1048576	4	11	0.143126	3265.86
1024	1048576	4	12	0.138541	3259.45
1024	1048576	4	13	0.139045	3258.9
1024	1048576	4	14	0.139753	3260.93
1024	1048576	4	15	0.142707	3265.28
1024	1048576	4	16	0.141999	3263.69
1024	1048576	4	17	0.140394	3264.95
1024	1048576	4	18	0.139716	3263.13
1024	1048576	4	19	0.139183	3260.92
1024	1048576	5	0	0.130483	3257.91
1024	1048576	5	1	0.128481	3259.94
1024	1048576	5	2	0.127031	3260.4
1024	1048576	5	3	0.126682	3260.55
1024	1048576	5	4	0.12838	3260.87
1024	1048576	5	5	0.128415	3261.45
1024	1048576	5	6	0.127897	3258.4
1024	1048576	5	7	0.128879	3259.71
1024	1048576	5	8	0.127422	3262.73
1024	1048576	5	9	0.126211	3257.69
1024	1048576	5	10	0.128534	3264.45
1024	1048576	5	11	0.128343	3259.73
1024	1048576	5	12	0.129228	3261.75
1024	1048576	5	13	0.127131	3258.67
1024	1048576	5	14	0.128356	3262.95
1024	1048576	5	15	0.126955	3260.57
1024	1048576	5	16	0.128769	3263.86
1024	1048576	5	17	0.129154	3263.66
1024	1048576	5	18	0.127714	3261.88
1024	1048576	5	19	0.126429	3259.91
1024	1048576	6	0	0.118707	3260.89
1024	1048576	6	1	0.119844	3259.74
1024	1048576	6	2	0.118095	3259.85
1024	1048576	6	3	0.123346	3260.86
1024	1048576	6	4	0.121002	3260.9
1024	1048576	6	5	0.120915	3259.65
1024	1048576	6	6	0.118761	3261.76
1024	1048576	6	7	0.119758	3265.68
1024	1048576	6	8	0.11783	3259.68
1024	1048576	6	9	0.123481	3260.71
1024	1048576	6	10	0.120452	3261.77
1024	1048576	6	11	0.121057	3262.03
1024	1048576	6	12	0.120823	3259.37
1024	1048576	6	13	0.12385	3261.12
1024	1048576	6	14	0.123398	3260.92
1024	1048576	6	15	0.123785	3261.56
1024	1048576	6	16	0.121798	3262.46
1024	1048576	6	17	0.119872	3262.79
1024	1048576	6	18	0.118438	3259.82
1024	1048576	6	19	0.119066	3261.93
1024	1048576	7	0	0.117864	3266.4
1024	1048576	7	1	0.114779	3259.1
1024	1048576	7	2	0.117118	3260.9
1024	1048576	7	3	0.11312	3261.72
1024	1048576	7	4	0.113574	3261.85
1024	1048576	7	5	0.116655	3259.91
1024	1048576	7	6	0.1142	3261.86
1024	1048576	7	7	0.111763	3255.39
1024	1048576	7	8	0.114675	3263.69
1024	1048576	7	9	0.115904	3262.72
1024	1048576	7	10	0.115249	3261.58
1024	1048576	7	11	0.115272	3263.66
1024	1048576	7	12	0.113817	3259.1
1024	1048576	7	13	0.116548	3260.68
1024	1048576	7	14	0.115334	3261.13
1024	1048576	7	15	0.114373	3259.89
1024	1048576	7	16	0.11392	3260.67
1024	1048576	7	17	0.112945	3262.81
1024	1048576	7	18	0.117002	3261.91
1024	1048576	7	19	0.113821	3258.04
1024	1048576	8	0	0.111316	3264.92
1024	1048576	8	1	0.11259	3258.59
1024	1048576	8	2	0.113091	3264.9
1024	1048576	8	3	0.112454	3264.39
1024	1048576	8	4	0.114499	3263.36
1024	1048576	8	5	0.110896	3263.61
1024	1048576	8	6	0.109026	3260.87
1024	1048576	8	7	0.112223	3261.87
1024	1048576	8	8	0.113807	3263.77
1024	1048576	8	9	0.118427	3260.7
1024	1048576	8	10	0.116043	3260.95
1024	1048576	8	11	0.112621	3260.03
1024	1048576	8	12	0.110868	3262.45
1024	1048576	8	13	0.109361	3259.68
1024	1048576	8	14	0.108709	3258.91
1024	1048576	8	15	0.117133	3264.95
1024	1048576	8	16	0.116325	3263.55
1024	1048576	8	17	0.1171	3261.67
1024	1048576	8	18	0.113907	3259.13
1024	1048576	8	19	0.112032	3259.94
2048	4194304	1	0	1.22191	6516.64
2048	4194304	1	1	1.22193	6516.64
2048	4194304	1	2	1.22158	6516.64
2048	4194304	1	3	1.22181	6516.64
2048	4194304	1	4	1.22135	6516.64
2048	4194304	1	5	1.22255	6516.64
2048	4194304	1	6	1.22267	6516.64
2048	4194304	1	7	1.22138	6516.64
