n	n*n	#proc	run	time [s]	distance	#visited	time/node
128	16384	8	23	0.001175	202.528	6451	1.82142e-07
128	16384	8	24	0.001266	203.994	6722	1.88337e-07
128	16384	8	25	0.001217	204.084	6918	1.75918e-07
128	16384	8	26	0.00111	203.223	6072	1.82806e-07
128	16384	8	27	0.001165	202.593	5712	2.03957e-07
128	16384	8	28	0.001229	204.523	6762	1.81751e-07
128	16384	8	29	0.001257	203.731	7430	1.69179e-07
128	16384	8	30	0.001192	203.299	6114	1.94962e-07
128	16384	8	31	0.001131	202.339	5885	1.92184e-07
128	16384	8	32	0.001146	203.32	6263	1.82979e-07
128	16384	8	33	0.001201	202.937	6616	1.8153e-07
128	16384	8	34	0.001197	203.542	6468	1.85065e-07
128	16384	8	35	0.001098	202.553	5553	1.97731e-07
128	16384	8	36	0.001091	202.444	5758	1.89476e-07
128	16384	8	37	0.001186	203.293	6679	1.77571e-07
128	16384	8	38	0.001235	203.403	6383	1.93483e-07
128	16384	8	39	0.001254	203.173	7055	1.77746e-07
128	16384	8	40	0.001208	203.273	6434	1.87753e-07
128	16384	8	41	0.001195	203.387	6556	1.82276e-07
128	16384	8	42	0.001163	204.032	6579	1.76775e-07
128	16384	8	43	0.001364	202.98	6913	1.97309e-07
128	16384	8	44	0.001217	203.51	6354	1.91533e-07
128	16384	8	45	0.001062	202.272	5838	1.81912e-07
128	16384	8	46	0.001206	202.829	6777	1.77955e-07
128	16384	8	47	0.001076	203.368	6243	1.72353e-07
128	16384	8	48	0.001215	203.59	6581	1.84622e-07
128	16384	8	49	0.00116	202.917	6365	1.82247e-07
256	65536	1	0	0.006078	407.154	27474	2.21227e-07
256	65536	1	1	0.006036	407.154	27474	2.19699e-07
256	65536	1	2	0.006045	407.154	27474	2.20026e-07
256	65536	1	3	0.006036	407.154	27474	2.19699e-07
256	65536	1	4	0.006056	407.154	27474	2.20427e-07
256	65536	1	5	0.006042	407.154	27474	2.19917e-07
256	65536	1	6	0.006039	407.154	27474	2.19808e-07
256	65536	1	7	0.006047	407.154	27474	2.20099e-07
256	65536	1	8	0.006038	407.154	27474	2.19771e-07
256	65536	1	9	0.006038	407.154	27474	2.19771e-07
